Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.1214		1.8592		0.0000		0.2000		0.00050000
2		1.6553		1.6212		0.0000		0.2348		0.00049700
3		1.4495		1.4761		0.0000		0.2696		0.00049400
4		1.3606		1.4385		0.0000		0.2680		0.00049099
5		1.2593		1.3753		0.0000		0.2911		0.00048798
6		1.1574		1.3343		0.0000		0.2874		0.00048497
7		1.1250		1.1939		0.0000		0.3365		0.00048196
8		1.0555		1.1827		0.0000		0.3219		0.00047895
9		1.0442		1.1872		0.0000		0.2917		0.00047593
